## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V1ER.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V1ER.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V1ER.sorted.bam --OUTPUT WR025V1ER.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133597	1022	17	0.092458	0.002892			
All Reads	ALL	1	97008	1129	17	0.140663	0.004186			
All Reads	ALL	2	113086	1605	17	0.171537	0.004282			
All Reads	ALL	3	144366	2607	16	0.218257	0.004275			
All Reads	ALL	4	155756	3583	16	0.278032	0.004645			
All Reads	ALL	5	158557	4403	16	0.335626	0.005058			
All Reads	ALL	6	179950	5828	15	0.391435	0.005127			
All Reads	ALL	7	193027	7037	15	0.440617	0.005253			
All Reads	ALL	8	220121	9082	15	0.498669	0.005233			
All Reads	ALL	9	248618	11705	14	0.569025	0.00526			
All Reads	ALL	10	292957	15523	14	0.640419	0.00514			
All Reads	ALL	11	357882	21089	14	0.71221	0.004904			
All Reads	ALL	12	466805	29738	14	0.769961	0.004465			
All Reads	ALL	13	615414	43289	13	0.850163	0.004086			
All Reads	ALL	14	872191	66742	13	0.924868	0.00358			
All Reads	ALL	15	1283430	103908	13	0.978518	0.003036			
All Reads	ALL	16	1920373	162836	13	1.024842	0.00254			
All Reads	ALL	17	2884097	253629	13	1.062873	0.00211			
All Reads	ALL	18	4325188	388242	13	1.0849	0.001741			
All Reads	ALL	19	6385214	580460	12	1.098725	0.001442			
All Reads	ALL	20	9221940	842851	12	1.10464	0.001203			
All Reads	ALL	21	12969991	1188973	12	1.107961	0.001016			
All Reads	ALL	22	17709092	1619516	12	1.105302	0.000869			
All Reads	ALL	23	23507823	2148867	12	1.104814	0.000754			
All Reads	ALL	24	30341227	2756411	12	1.098002	0.000661			
All Reads	ALL	25	38049062	3439099	12	1.092428	0.000589			
All Reads	ALL	26	46340122	4170110	12	1.087633	0.000533			
All Reads	ALL	27	55002303	4922159	11	1.081601	0.000488			
All Reads	ALL	28	63744555	5684593	11	1.077826	0.000452			
All Reads	ALL	29	72264669	6421970	11	1.074075	0.000424			
All Reads	ALL	30	80384070	7103826	11	1.068106	0.000401			
All Reads	ALL	31	87952661	7748007	11	1.064715	0.000383			
All Reads	ALL	32	94822082	8317772	11	1.060205	0.000368			
All Reads	ALL	33	100924868	8810201	11	1.055066	0.000355			
All Reads	ALL	34	106336042	9197266	11	1.045371	0.000345			
All Reads	ALL	35	110981640	9500604	11	1.034647	0.000336			
All Reads	ALL	36	114741834	9676505	10	1.019269	0.000328			
All Reads	ALL	37	116830335	9704016	10	1.003894	0.000322			
All Reads	ALL	38	116865262	9572240	10	0.989966	0.00032			
All Reads	ALL	39	115033283	9302533	10	0.977395	0.00032			
All Reads	ALL	40	111474303	8931886	10	0.968413	0.000324			
All Reads	ALL	41	106285838	8468468	10	0.96299	0.000331			
All Reads	ALL	42	100115791	7989305	10	0.964492	0.000341			
All Reads	ALL	43	93766613	7515494	10	0.968727	0.000353			
All Reads	ALL	44	88114092	7097840	10	0.973583	0.000365			
All Reads	ALL	45	83608187	6754177	10	0.976373	0.000376			
All Reads	ALL	46	80190507	6466904	9	0.974688	0.000383			
All Reads	ALL	47	77498050	6216937	9	0.969567	0.000389			
All Reads	ALL	48	74819675	5970598	9	0.964482	0.000395			
All Reads	ALL	49	71557088	5677862	9	0.959013	0.000402			
All Reads	ALL	50	67428237	5336290	9	0.956511	0.000414			
All Reads	ALL	51	62599246	4949882	9	0.955692	0.00043			
All Reads	ALL	52	57591828	4565497	9	0.958119	0.000448			
All Reads	ALL	53	52909869	4211876	9	0.962124	0.000469			
All Reads	ALL	54	48741872	3899672	9	0.966981	0.00049			
All Reads	ALL	55	45067388	3629069	9	0.973251	0.000511			
All Reads	ALL	56	41525675	3357368	9	0.97718	0.000533			
All Reads	ALL	57	37757460	3056994	9	0.978552	0.00056			
All Reads	ALL	58	33606878	2706480	9	0.97335	0.000592			
All Reads	ALL	59	29109921	2323066	9	0.964523	0.000633			
All Reads	ALL	60	24599672	1937596	9	0.951976	0.000684			
All Reads	ALL	61	20433567	1583790	9	0.936797	0.000744			
All Reads	ALL	62	16876845	1285959	9	0.920933	0.000812			
All Reads	ALL	63	13942437	1042840	8	0.904006	0.000885			
All Reads	ALL	64	11519972	844230	8	0.88573	0.000964			
All Reads	ALL	65	9502746	681691	8	0.867023	0.00105			
All Reads	ALL	66	7831353	549106	8	0.847445	0.001144			
All Reads	ALL	67	6363395	436211	8	0.828514	0.001254			
All Reads	ALL	68	5089284	343078	8	0.814758	0.001391			
All Reads	ALL	69	4074158	269779	8	0.800318	0.001541			
All Reads	ALL	70	3269564	211949	8	0.78349	0.001702			
All Reads	ALL	71	2617980	166344	8	0.76795	0.001883			
All Reads	ALL	72	2117944	132426	8	0.755703	0.002077			
All Reads	ALL	73	1728380	106940	8	0.747813	0.002287			
All Reads	ALL	74	1425788	87474	8	0.741509	0.002507			
All Reads	ALL	75	1200072	72825	7	0.733441	0.002718			
All Reads	ALL	76	1034915	62034	7	0.724465	0.002909			
All Reads	ALL	77	911308	53203	7	0.705607	0.003059			
All Reads	ALL	78	811087	45419	7	0.676803	0.003176			
All Reads	ALL	79	708223	37837	7	0.645712	0.00332			
All Reads	ALL	80	604166	31503	7	0.630214	0.003551			
All Reads	ALL	81	508396	25905	7	0.615848	0.003826			
