## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V9WR.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V9WR.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V9WR.sorted.bam --OUTPUT WR025V9WR.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133597	2196	19	0.188701	0.004027			
All Reads	ALL	1	97008	2381	19	0.281767	0.005774			
All Reads	ALL	2	113086	3217	18	0.326573	0.005758			
All Reads	ALL	3	144366	4410	18	0.35068	0.005281			
All Reads	ALL	4	155756	5365	17	0.395424	0.005399			
All Reads	ALL	5	158557	6402	17	0.463519	0.005793			
All Reads	ALL	6	179950	7825	16	0.499195	0.005643			
All Reads	ALL	7	193027	9439	16	0.561365	0.005778			
All Reads	ALL	8	220121	11577	15	0.603771	0.005611			
All Reads	ALL	9	248618	14345	15	0.662377	0.00553			
All Reads	ALL	10	292957	18229	15	0.714326	0.005291			
All Reads	ALL	11	357882	24299	14	0.779446	0.005			
All Reads	ALL	12	466805	33899	14	0.83366	0.004528			
All Reads	ALL	13	615414	49232	14	0.91837	0.004139			
All Reads	ALL	14	872191	74051	13	0.974668	0.003582			
All Reads	ALL	15	1283430	115251	13	1.030885	0.003037			
All Reads	ALL	16	1920373	180814	13	1.080896	0.002542			
All Reads	ALL	17	2884097	280185	13	1.115251	0.002107			
All Reads	ALL	18	4325188	428426	13	1.137125	0.001737			
All Reads	ALL	19	6385214	644242	13	1.158273	0.001443			
All Reads	ALL	20	9221940	939928	12	1.170065	0.001207			
