## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR069V9WR.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR069V9WR.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR069V9WR.sorted.bam --OUTPUT WR069V9WR.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133597	2017	19	0.173215	0.003857			
All Reads	ALL	1	97008	2122	19	0.250966	0.005448			
All Reads	ALL	2	113086	2804	18	0.284476	0.005372			
All Reads	ALL	3	144366	4099	18	0.325754	0.005088			
All Reads	ALL	4	155756	5083	17	0.374414	0.005252			
All Reads	ALL	5	158557	6148	17	0.444862	0.005674			
All Reads	ALL	6	179950	7559	16	0.481936	0.005543			
All Reads	ALL	7	193027	8942	16	0.531488	0.005621			
All Reads	ALL	8	220121	11428	15	0.595643	0.005572			
All Reads	ALL	9	248618	14145	15	0.652751	0.005488			
All Reads	ALL	10	292957	18298	15	0.7166	0.005298			
All Reads	ALL	11	357882	24266	14	0.777921	0.004994			
All Reads	ALL	12	466805	33961	14	0.834684	0.004529			
All Reads	ALL	13	615414	49368	14	0.920355	0.004142			
All Reads	ALL	14	872191	74985	13	0.98637	0.003602			
All Reads	ALL	15	1283430	115950	13	1.036515	0.003044			
All Reads	ALL	16	1920373	180937	13	1.080983	0.002541			
All Reads	ALL	17	2884097	279503	13	1.111869	0.002103			
All Reads	ALL	18	4325188	429722	13	1.139881	0.001739			
All Reads	ALL	19	6385214	642071	13	1.153678	0.00144			
All Reads	ALL	20	9221940	933343	12	1.161171	0.001202			
All Reads	ALL	21	12969991	1318605	12	1.166412	0.001016			
All Reads	ALL	22	17709092	1800310	12	1.166348	0.000869			
All Reads	ALL	23	23507823	2384679	12	1.163844	0.000754			
All Reads	ALL	24	30341227	3065016	12	1.158982	0.000662			
All Reads	ALL	25	38049062	3821640	12	1.152346	0.000589			
All Reads	ALL	26	46340122	4631873	12	1.146771	0.000533			
All Reads	ALL	27	55002303	5471298	12	1.141265	0.000488			
All Reads	ALL	28	63744555	6315297	11	1.136653	0.000452			
All Reads	ALL	29	72264669	7124823	11	1.131163	0.000424			
All Reads	ALL	30	80384070	7882605	11	1.125063	0.000401			
All Reads	ALL	31	87952661	8573809	11	1.118412	0.000382			
All Reads	ALL	32	94822082	9179303	11	1.11065	0.000367			
All Reads	ALL	33	100924868	9697904	11	1.102445	0.000354			
All Reads	ALL	34	106336042	10092302	11	1.088897	0.000343			
All Reads	ALL	35	110981640	10377589	11	1.072809	0.000333			
All Reads	ALL	36	114741834	10509172	11	1.050809	0.000324			
All Reads	ALL	37	116830335	10494976	10	1.03063	0.000318			
All Reads	ALL	38	116865262	10305042	10	1.011676	0.000315			
All Reads	ALL	39	115033283	9978355	10	0.995205	0.000315			
All Reads	ALL	40	111474303	9544333	10	0.982308	0.000318			
All Reads	ALL	41	106285838	9029986	10	0.97474	0.000324			
All Reads	ALL	42	100115791	8492958	10	0.97327	0.000334			
All Reads	ALL	43	93766613	7965967	10	0.974692	0.000345			
All Reads	ALL	44	88114092	7515137	10	0.978518	0.000357			
All Reads	ALL	45	83608187	7103971	10	0.974831	0.000366			
All Reads	ALL	46	80190507	6765790	10	0.967994	0.000372			
All Reads	ALL	47	77498050	6469155	10	0.95771	0.000377			
All Reads	ALL	48	74819675	6175907	10	0.947026	0.000381			
All Reads	ALL	49	71557088	5824097	9	0.933798	0.000387			
All Reads	ALL	50	67428237	5422724	9	0.922684	0.000396			
All Reads	ALL	51	62599246	4974301	9	0.911675	0.000409			
All Reads	ALL	52	57591828	4529629	9	0.902358	0.000424			
All Reads	ALL	53	52909869	4126205	9	0.894728	0.00044			
All Reads	ALL	54	48741872	3782994	9	0.890452	0.000458			
All Reads	ALL	55	45067388	3480132	9	0.885952	0.000475			
All Reads	ALL	56	41525675	3192386	9	0.882015	0.000494			
All Reads	ALL	57	37757460	2878839	9	0.874766	0.000516			
All Reads	ALL	58	33606878	2522819	9	0.861261	0.000542			
All Reads	ALL	59	29109921	2130501	9	0.839688	0.000575			
All Reads	ALL	60	24599672	1743914	9	0.813341	0.000616			
All Reads	ALL	61	20433567	1392926	9	0.782098	0.000663			
All Reads	ALL	62	16876845	1100512	9	0.748136	0.000713			
All Reads	ALL	63	13942437	870267	9	0.716128	0.000768			
All Reads	ALL	64	11519972	687757	9	0.684953	0.000826			
All Reads	ALL	65	9502746	540653	8	0.65275	0.000888			
All Reads	ALL	66	7831353	424729	8	0.622232	0.000955			
All Reads	ALL	67	6363395	331074	8	0.596916	0.001037			
All Reads	ALL	68	5089284	254132	8	0.572901	0.001136			
All Reads	ALL	69	4074158	197420	8	0.555943	0.001251			
All Reads	ALL	70	3269564	151527	8	0.531713	0.001366			
All Reads	ALL	71	2617980	116119	8	0.508878	0.001493			
All Reads	ALL	72	2117944	90643	8	0.491017	0.001631			
All Reads	ALL	73	1728380	71195	8	0.472593	0.001771			
All Reads	ALL	74	1425788	56438	8	0.454144	0.001912			
All Reads	ALL	75	1200072	45613	8	0.436072	0.002042			
All Reads	ALL	76	1034915	37756	7	0.418561	0.002154			
All Reads	ALL	77	911308	30761	7	0.387269	0.002208			
All Reads	ALL	78	811087	25030	7	0.354055	0.002238			
All Reads	ALL	79	708223	20576	7	0.333325	0.002324			
All Reads	ALL	80	604166	15999	7	0.303818	0.002402			
All Reads	ALL	81	508396	12304	7	0.277665	0.002503			
All Reads	ALL	82	426951	9385	7	0.252193	0.002603			
All Reads	ALL	83	351300	7121	7	0.232563	0.002756			
All Reads	ALL	84	272651	4934	7	0.20762	0.002956			
All Reads	ALL	85	197877	3632	7	0.210585	0.003494			
