"seqnames" "start" "end" "width" "strand" "WR025V1"
"cg16566605" "chr1" 13410375 13410375 1 "+" 0.911687981085351
"cg20017108" "chr1" 13410375 13410375 1 "+" 0.878094081536883
"cg23664334" "chr1" 121010328 121010328 1 "+" 0.575345819201239
"cg06741726" "chr1" 121010328 121010328 1 "+" 0.404335659864158
"cg06441514" "chr1" 144420861 144420861 1 "-" 0.977926969993931
"cg13552272" "chr1" 144420861 144420861 1 "-" 0.785053850004118
"cg06616806" "chr1" 146472631 146472631 1 "+" 0.0226673795305376
"cg12512196" "chr1" 146472631 146472631 1 "+" 0.0246763459611122
"cg10127479" "chr1" 148152231 148152231 1 "-" 0.0422164137515449
"cg20294457" "chr1" 148152231 148152231 1 "-" 0.0439609295909535
"cg03170665" "chr2" 113575919 113575919 1 "+" 0.766040158137738
"cg26523196" "chr2" 113575919 113575919 1 "+" 0.847033689932825
"cg11938051" "chr3" 75785759 75785759 1 "-" 0.584372813568181
"cg13912721" "chr3" 75785759 75785759 1 "-" 0.582892562748418
"cg01231417" "chr4" 74441927 74441927 1 "-" 0.785577645402526
"cg01972631" "chr4" 74441927 74441927 1 "-" 0.82147645008355
"cg26611070" "chr4" 74446766 74446766 1 "-" 0.901767824906602
"cg02334660" "chr4" 74446766 74446766 1 "-" 0.882534322405094
"cg21205260" "chr6" 909235 909235 1 "+" 0.657056222121643
"cg14475265" "chr6" 909235 909235 1 "+" 0.615980249020025
"cg14344864" "chr7" 6011724 6011724 1 "+" 0.829589536622372
"cg03481658" "chr7" 6011724 6011724 1 "+" 0.862571466919938
"cg18779556" "chr7" 101681455 101681455 1 "+" 0.81276683854296
"cg26670578" "chr7" 101681455 101681455 1 "+" 0.829690768510438
"cg13177830" "chr8" 144147848 144147848 1 "+" 0.0145938483450074
"cg25593776" "chr8" 144147848 144147848 1 "+" 0.0429784567713681
"cg13706899" "chr9" 39075057 39075057 1 "-" 0.885790481340686
"cg20727814" "chr9" 39075057 39075057 1 "-" 0.798023507255564
"cg04652208" "chr9" 136049103 136049103 1 "+" 0.718069553617317
"cg02493986" "chr9" 136049103 136049103 1 "+" 0.635092767952707
"cg19201533" "chr10" 17844509 17844509 1 "-" 0.922588801506817
"cg07386868" "chr10" 17844509 17844509 1 "-" 0.91207368552358
"cg25108740" "chr10" 45865822 45865822 1 "+" 0.944487786159535
"cg17752899" "chr10" 45865822 45865822 1 "+" 0.878273515326541
"cg20477318" "chr10" 45972791 45972791 1 "+" 0.0349950849189515
"cg10432423" "chr10" 45972791 45972791 1 "+" 0.0523381257068594
"cg22056476" "chr10" 45983373 45983373 1 "+" 0.844111665632809
"cg27540743" "chr10" 45983373 45983373 1 "+" 0.873723959384966
"cg15247093" "chr10" 46397210 46397210 1 "-" 0.953103239274788
"cg17243957" "chr10" 46397210 46397210 1 "-" 0.80284897532791
"cg00134340" "chr10" 50152129 50152129 1 "+" 0.96947582165206
"cg25305259" "chr10" 50152129 50152129 1 "+" 0.963255800959568
"cg22746681" "chr10" 50152871 50152871 1 "+" 0.380339530435437
"cg05211996" "chr10" 50152871 50152871 1 "+" 0.297553997891331
"cg12624235" "chr11" 69900840 69900840 1 "-" 0.568119288151577
"cg18022282" "chr11" 69900840 69900840 1 "-" 0.541543907445111
"cg13465769" "chr14" 106218333 106218333 1 "-" 0.210975620461615
"cg10280325" "chr14" 106218333 106218333 1 "-" 0.205973550294912
"cg15409616" "chr14" 106480439 106480439 1 "+" 0.63692778926713
"cg00514284" "chr14" 106480439 106480439 1 "+" 0.665165209491181
"cg17768143" "chr14" 106676317 106676317 1 "+" 0.917641283653318
"cg15385352" "chr14" 106676317 106676317 1 "+" 0.933154152313778
"cg22833127" "chr15" 82325648 82325648 1 "-" 0.758955222279532
"cg24652361" "chr15" 82325648 82325648 1 "-" 0.838031091223208
"cg05651292" "chr17" 36182112 36182112 1 "-" 0.857772901889616
"cg10057085" "chr17" 36182112 36182112 1 "-" 0.886913076926455
"cg20804072" "chr17" 36210658 36210658 1 "-" 0.0893752057507318
"cg22407154" "chr17" 36210658 36210658 1 "-" 0.112923559904685
"cg21231964" "chr17" 79509296 79509296 1 "+" 0.791760810318838
"cg06767681" "chr17" 79509296 79509296 1 "+" 0.717276021934447
"cg13074711" "chr17" 79511722 79511722 1 "-" 0.598948642102424
"cg12709207" "chr17" 79511722 79511722 1 "-" 0.701341788172913
"cg17202109" "chr17" 79512895 79512895 1 "-" 0.921169161604612
"cg12049769" "chr17" 79512895 79512895 1 "-" 0.904607102889406
"cg17784516" "chr19" 39890213 39890213 1 "+" 0.903261464503273
"cg09317079" "chr19" 39890213 39890213 1 "+" 0.851601409871947
"cg03556020" "chr19" 54223430 54223430 1 "+" 0.633985286007695
"cg00705255" "chr19" 54223430 54223430 1 "+" 0.466244739188389
"cg26642960" "chr19" 54224165 54224165 1 "+" 0.560869710554232
"cg23679434" "chr19" 54224165 54224165 1 "+" 0.513736399630464
"cg25421629" "chr22" 22906019 22906019 1 "+" 0.783495349708273
"cg12304053" "chr22" 22906019 22906019 1 "+" 0.795088944330455
